"Timestamp","¿Qué edad tienes?","Lista de actividades: [YOGA]","Lista de actividades: [NATACIÓN ]","Lista de actividades: [BAILE ]","Lista de actividades: [GOLF ]","Lista de actividades: [GIMNASIO ]","Lista de actividades: [TIRO CON ARCO ]","Lista de actividades: [ZUMBA ]","Lista de actividades: [TENIS]","Lista de actividades: [CLUB DE LECTURA]","Lista de actividades: [CLUB DE ESCRITURA]","Lista de actividades: [PINTURA]","Lista de actividades: [MÚSICA ]","Lista de actividades: [MACRAMÉ]","Lista de actividades: [INFORMÁTICA]","Lista de actividades: [JARDINERÍA]","Lista de actividades: [MANUALIDADES]","Lista de actividades: [IDIOMAS]","Lista de actividades: [COCINA]","Lista de actividades: [COCTELERÍA]","Lista de actividades: [CERVECERÍA ARTESANAL]","Lista de actividades: [CATAS DE COMIDA Y BEBIDA]","Lista de actividades: [BINGO]","Lista de actividades: [PARCHIS]","Lista de actividades: [AJEDREZ]","Lista de actividades: [TEATRO]"
"2022/03/12 7:51:25 pm CET","Más de 55 años","2","5 Me encanta","5 Me encanta","1 No me gusta","3","1 No me gusta","3","2","4","2","2","4","1 No me gusta","4","3","3","1 No me gusta","5 Me encanta","4","2","5 Me encanta","3","4","5 Me encanta","3"
"2022/03/12 7:51:45 pm CET","Más de 55 años","","5 Me encanta","4","","3","","","2","","2","3","","","1 No me gusta","","","1 No me gusta","","","","","","","2",""
"2022/03/12 7:54:34 pm CET","Más de 55 años","","2","2","","2","","2","2","2","2","","2","","2","","2","2","","","","2","","2","","2"
"2022/03/12 7:56:45 pm CET","Más de 55 años","5 Me encanta","2","5 Me encanta","1 No me gusta","3","1 No me gusta","5 Me encanta","2","4","1 No me gusta","1 No me gusta","5 Me encanta","1 No me gusta","4","3","3","3","5 Me encanta","1 No me gusta","5 Me encanta","5 Me encanta","3","2","1 No me gusta","5 Me encanta"
"2022/03/12 8:00:43 pm CET","Más de 55 años","3","3","","","3","","2","","","","","","","","","","","","","","","","","",""
"2022/03/12 8:02:04 pm CET","Más de 55 años","","3","3","","","","","","","","","3","","","3","3","3","","","","","","3","3","3"
"2022/03/12 8:13:11 pm CET","Más de 55 años","4","3","4","2","4","","","","","","","","","","","","3","","","","","1 No me gusta","3","",""
"2022/03/12 8:14:40 pm CET","Más de 55 años","3","","","","","","","","3","","","3","","","3","3","","3","","","","","3","","3"
"2022/03/12 8:17:18 pm CET","Más de 55 años","3","","","","3","","","","3","","3","","","3","3","3","","3","","","","","","",""
"2022/03/12 8:18:24 pm CET","Más de 55 años","","2","","","2","","2","","","","","3","","1 No me gusta","","","2","1 No me gusta","","","","","","",""
"2022/03/12 8:18:48 pm CET","Más de 55 años","1 No me gusta","2","2","1 No me gusta","1 No me gusta","2","1 No me gusta","2","3","2","2","2","1 No me gusta","2","1 No me gusta","2","2","3","2","3","3","1 No me gusta","2","3","2"
"2022/03/12 8:18:50 pm CET","Más de 55 años","2","3","3","","2","","1 No me gusta","","2","2","2","3","2","3","3","3","2","2","","","3","3","3","3","1 No me gusta"
"2022/03/12 8:20:17 pm CET","Más de 55 años","2","2","2","","","","","","2","2","2","2","","","2","","2","2","","","","","","","2"
"2022/03/12 8:25:13 pm CET","Más de 55 años","2","2","3","2","1 No me gusta","1 No me gusta","1 No me gusta","2","1 No me gusta","1 No me gusta","1 No me gusta","2","1 No me gusta","3","","2","1 No me gusta","1 No me gusta","2","2","2","1 No me gusta","3","3","3"
"2022/03/12 8:25:52 pm CET","Más de 55 años","","","","3","","","","2","","","2","2","","","","","","2","","","","","","",""
"2022/03/12 8:32:40 pm CET","Más de 55 años","","1 No me gusta","","","","","","","","","","","","","5 Me encanta","","","","","","","","5 Me encanta","",""
"2022/03/12 8:47:23 pm CET","Más de 55 años","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2022/03/12 8:55:16 pm CET","Más de 55 años","","","","","5 Me encanta","","","","","","","","","","","","","","","","","","","",""
"2022/03/12 8:55:18 pm CET","Más de 55 años","5 Me encanta","3","5 Me encanta","","5 Me encanta","","5 Me encanta","","5 Me encanta","","","5 Me encanta","","2","5 Me encanta","3","3","3","","","","","2","2","3"
"2022/03/12 8:58:13 pm CET","Hasta 54 años","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/03/12 9:09:25 pm CET","Más de 55 años","1 No me gusta","1 No me gusta","2","1 No me gusta","2","1 No me gusta","1 No me gusta","1 No me gusta","3","3","3","2","2","3","3","3","2","2","1 No me gusta","1 No me gusta","2","1 No me gusta","1 No me gusta","3","3"
"2022/03/12 9:17:01 pm CET","Más de 55 años","","3","","","2","","","2","","","","","","2","","","","","","","","","","2",""
"2022/03/12 9:22:03 pm CET","Más de 55 años","","3","3","","2","","2","","3","","3","3","2","2","","2","3","3","","","2","","","","3"
"2022/03/12 9:30:13 pm CET","Más de 55 años","","4","4","","2","","","","5 Me encanta","4","5 Me encanta","4","4","","4","5 Me encanta","4","","","","","","","","5 Me encanta"
"2022/03/12 9:34:37 pm CET","Más de 55 años","","2","","","3","","","","3","","","","","","","","","","","3","","","3","","3"
"2022/03/12 9:40:12 pm CET","Más de 55 años","","1 No me gusta","","","3","","","2","","","","3","","3","3","","3","2","","","","","1 No me gusta","1 No me gusta","3"
"2022/03/12 9:41:05 pm CET","Más de 55 años","","","","","","","","3","","","","","","","","3","","","","","","","","",""
"2022/03/12 9:46:48 pm CET","Más de 55 años","1 No me gusta","2","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2","2","2","3","2","1 No me gusta","2","2","1 No me gusta","2","1 No me gusta","1 No me gusta","2","2","2","1 No me gusta","2"
"2022/03/12 9:47:11 pm CET","Más de 55 años","1 No me gusta","3","3","","","","","","","","3","","","","2","3","","","","","","","","",""
"2022/03/12 10:05:08 pm CET","Más de 55 años","3","","4","","4","","","","","","","2","","","","","","3","","","","","","",""
